County of County_Animals,Year of County_Animals,HOGS - INVENTORY,TURKEYS - INVENTORY
MILLE LACS,2014,,
MILLE LACS,2015,,
MILLE LACS,2016,,
MILLE LACS,2017,589,129
MILLE LACS,2018,,
MILLE LACS,2019,,
MILLE LACS,2020,,
MILLE LACS,2021,,
MILLE LACS,2022,127,
MILLE LACS,2023,,
MORRISON,2010,,
MORRISON,2011,,
MORRISON,2012,77871,1117300
MORRISON,2013,,
MORRISON,2014,,
MORRISON,2015,,
MORRISON,2016,,
MORRISON,2017,59080,1477183
MORRISON,2018,,
MORRISON,2019,,
MORRISON,2020,,
MORRISON,2021,,
MORRISON,2022,59596,961670
MORRISON,2023,,
MOWER,2010,,
MOWER,2011,,
MOWER,2012,330950,
MOWER,2013,,
MOWER,2014,,
MOWER,2015,,
MOWER,2016,,
MOWER,2017,307898,363016
MOWER,2018,,
MOWER,2019,,
MOWER,2020,,
MOWER,2021,,
MOWER,2022,237896,
MOWER,2023,,
MURRAY,2010,,
MURRAY,2011,,
MURRAY,2012,140599,
MURRAY,2013,,
MURRAY,2014,,
MURRAY,2015,,
MURRAY,2016,,
MURRAY,2017,205046,
MURRAY,2018,,
MURRAY,2019,,
MURRAY,2020,,
MURRAY,2021,,
MURRAY,2022,198432,
MURRAY,2023,,
NICOLLET,2010,,
NICOLLET,2011,,
NICOLLET,2012,268330,
NICOLLET,2013,,
NICOLLET,2014,,
NICOLLET,2015,,
NICOLLET,2016,,
NICOLLET,2017,267990,
NICOLLET,2018,,
NICOLLET,2019,,
NICOLLET,2020,,
NICOLLET,2021,,
NICOLLET,2022,405026,5
NICOLLET,2023,,
NOBLES,2010,,
NOBLES,2011,,
NOBLES,2012,323679,
NOBLES,2013,,
NOBLES,2014,,
NOBLES,2015,,
NOBLES,2016,,
NOBLES,2017,393029,186011
NOBLES,2018,,
NOBLES,2019,,
NOBLES,2020,,
NOBLES,2021,,
NOBLES,2022,504733,
NOBLES,2023,,
NORMAN,2010,,
NORMAN,2011,,
NORMAN,2012,7070,
NORMAN,2013,,
NORMAN,2014,,
NORMAN,2015,,
NORMAN,2016,,
NORMAN,2017,,
NORMAN,2018,,
NORMAN,2019,,
NORMAN,2020,,
NORMAN,2021,,
NORMAN,2022,,
NORMAN,2023,,
OLMSTED,2010,,
OLMSTED,2011,,
OLMSTED,2012,45300,
OLMSTED,2013,,
OLMSTED,2014,,
OLMSTED,2015,,
OLMSTED,2016,,
OLMSTED,2017,23691,
OLMSTED,2018,,
OLMSTED,2019,,
OLMSTED,2020,,
OLMSTED,2021,,
OLMSTED,2022,37041,
OLMSTED,2023,,
OTTER TAIL,2010,,
OTTER TAIL,2011,,
OTTER TAIL,2012,35547,1505819
OTTER TAIL,2013,,
OTTER TAIL,2014,,
OTTER TAIL,2015,,
OTTER TAIL,2016,,
OTTER TAIL,2017,11746,831000
OTTER TAIL,2018,,
OTTER TAIL,2019,,
OTTER TAIL,2020,,
OTTER TAIL,2021,,
OTTER TAIL,2022,599,880267
OTTER TAIL,2023,,
PENNINGTON,2010,,
PENNINGTON,2011,,
PENNINGTON,2012,,
PENNINGTON,2013,,
PENNINGTON,2014,,
PENNINGTON,2015,,
PENNINGTON,2016,,
PENNINGTON,2017,,
PENNINGTON,2018,,
PENNINGTON,2019,,
PENNINGTON,2020,,
PENNINGTON,2021,,
PENNINGTON,2022,,14
PENNINGTON,2023,,
PINE,2010,,
PINE,2011,,
PINE,2012,265,65
PINE,2013,,
PINE,2014,,
PINE,2015,,
PINE,2016,,
PINE,2017,207,206
PINE,2018,,
PINE,2019,,
PINE,2020,,
PINE,2021,,
PINE,2022,202,109
PINE,2023,,
PIPESTONE,2010,,
PIPESTONE,2011,,
PIPESTONE,2012,267097,
PIPESTONE,2013,,
PIPESTONE,2014,,
PIPESTONE,2015,,
PIPESTONE,2016,,
PIPESTONE,2017,361314,
PIPESTONE,2018,,
PIPESTONE,2019,,
PIPESTONE,2020,,
PIPESTONE,2021,,
PIPESTONE,2022,303763,
PIPESTONE,2023,,
POLK,2010,,
POLK,2011,,
POLK,2012,17637,
POLK,2013,,
POLK,2014,,
POLK,2015,,
POLK,2016,,
POLK,2017,18081,
POLK,2018,,
POLK,2019,,
POLK,2020,,
POLK,2021,,
POLK,2022,1862,74
POLK,2023,,
POPE,2010,,
POPE,2011,,
POPE,2012,76913,
POPE,2013,,
POPE,2014,,
POPE,2015,,
POPE,2016,,
POPE,2017,104433,
POPE,2018,,
POPE,2019,,
POPE,2020,,
POPE,2021,,
POPE,2022,68364,
POPE,2023,,
RAMSEY,2010,,
RAMSEY,2011,,
RAMSEY,2012,,
RAMSEY,2013,,
RAMSEY,2014,,
RAMSEY,2015,,
RAMSEY,2016,,
RAMSEY,2017,,
RAMSEY,2018,,
RAMSEY,2019,,
RAMSEY,2020,,
RAMSEY,2021,,
RAMSEY,2022,,
RAMSEY,2023,,
RED LAKE,2010,,
RED LAKE,2011,,
RED LAKE,2012,,
RED LAKE,2013,,
RED LAKE,2014,,
RED LAKE,2015,,
RED LAKE,2016,,
RED LAKE,2017,,
RED LAKE,2018,,
RED LAKE,2019,,
RED LAKE,2020,,
RED LAKE,2021,,
RED LAKE,2022,,
RED LAKE,2023,,
REDWOOD,2010,,
REDWOOD,2011,,
REDWOOD,2012,179776,336506
REDWOOD,2013,,
